n_Epochs,Model,Classification,Batch Size,ROC_AUC
0,T_CPC,LogisticRegression,1024,0.6859301979952771
1,T_CPC,LogisticRegression,1024,0.6934706144624073
2,T_CPC,LogisticRegression,1024,0.7087041960466999
3,T_CPC,LogisticRegression,1024,0.7108777680532391
4,T_CPC,LogisticRegression,1024,0.7107291477450997
5,T_CPC,LogisticRegression,1024,0.7175594894066748
6,T_CPC,LogisticRegression,1024,0.7286729857819906
7,T_CPC,LogisticRegression,1024,0.7442657331109533
8,T_CPC,LogisticRegression,1024,0.7567002988919531
9,T_CPC,LogisticRegression,1024,0.766996383572502
0,T_CPC,ClassifierNN,1024,0.7095525703056624
1,T_CPC,ClassifierNN,1024,0.7181384893571345
2,T_CPC,ClassifierNN,1024,0.7241483230675232
3,T_CPC,ClassifierNN,1024,0.7213967831959972
4,T_CPC,ClassifierNN,1024,0.7058597684825867
5,T_CPC,ClassifierNN,1024,0.7130946876496524
6,T_CPC,ClassifierNN,1024,0.7090158858596034
7,T_CPC,ClassifierNN,1024,0.7225465264131314
8,T_CPC,ClassifierNN,1024,0.7232669220734184
9,T_CPC,ClassifierNN,1024,0.7273787505986096
0,TS_CPC,LogisticRegression,1024,0.8079743052000594
1,TS_CPC,LogisticRegression,1024,0.8220829136185743
2,TS_CPC,LogisticRegression,1024,0.834777564938818
3,TS_CPC,LogisticRegression,1024,0.8391143880971647
4,TS_CPC,LogisticRegression,1024,0.8380513400597784
5,TS_CPC,LogisticRegression,1024,0.8388357250194032
6,TS_CPC,LogisticRegression,1024,0.8381194577010089
7,TS_CPC,LogisticRegression,1024,0.8370976930825502
8,TS_CPC,LogisticRegression,1024,0.8335101639777399
9,TS_CPC,LogisticRegression,1024,0.83081229255082
0,TS_CPC,ClassifierNN,1024,0.8143236950311277
1,TS_CPC,ClassifierNN,1024,0.835080998067936
2,TS_CPC,ClassifierNN,1024,0.8449312218240667
3,TS_CPC,ClassifierNN,1024,0.8536564724144194
4,TS_CPC,ClassifierNN,1024,0.8600946215961821
5,TS_CPC,ClassifierNN,1024,0.8618904503195336
6,TS_CPC,ClassifierNN,1024,0.8673976584044785
7,TS_CPC,ClassifierNN,1024,0.8710244067572701
8,TS_CPC,ClassifierNN,1024,0.8630071668015258
9,TS_CPC,ClassifierNN,1024,0.8697033373515861
0,S_CPC,LogisticRegression,1024,0.8202974057499546
1,S_CPC,LogisticRegression,1024,0.8291754049903397
2,S_CPC,LogisticRegression,1024,0.8331489340621233
3,S_CPC,LogisticRegression,1024,0.8327175223343296
4,S_CPC,LogisticRegression,1024,0.8348972868537081
5,S_CPC,LogisticRegression,1024,0.8426358637316907
6,S_CPC,LogisticRegression,1024,0.8465433393331901
7,S_CPC,LogisticRegression,1024,0.8468942483940749
8,S_CPC,LogisticRegression,1024,0.8433830936142808
9,S_CPC,LogisticRegression,1024,0.8441592218901202
0,S_CPC,ClassifierNN,1024,0.8196306785342735
1,S_CPC,ClassifierNN,1024,0.8299670145482768
2,S_CPC,ClassifierNN,1024,0.8352502600855394
3,S_CPC,ClassifierNN,1024,0.8407347622900738
4,S_CPC,ClassifierNN,1024,0.8470284195055897
5,S_CPC,ClassifierNN,1024,0.8480439916112092
6,S_CPC,ClassifierNN,1024,0.8527234671466553
7,S_CPC,ClassifierNN,1024,0.8444089865746321
8,S_CPC,ClassifierNN,1024,0.8540280231847681
9,S_CPC,ClassifierNN,1024,0.8566350710900474
